,t1_csi_res,t1_csi_core,t1_csi_comm,t1_csi_total,t1_cci_res,t1_cci_core,t1_cci_comm,t1_cci_total,t2_csi_res,t2_csi_core,t2_csi_comm,t2_csi_total,t2_cci_res,t2_cci_core,t2_cci_comm,t2_cci_total,d_csi_res,d_csi_core,d_csi_comm,d_csi_total,d_cci_res,d_cci_core,d_cci_comm,d_cci_total,c_csi_res,c_csi_core,c_csi_comm,c_csi_total,c_cci_res,c_cci_core
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,7.7457,7.8292,7.7048,7.7561,1.0693,1.0928,0.9945,1.0414,7.5921,7.7021,7.5497,7.6142,0.9363,1.015,0.8605,0.9385,7.5238,7.6123,7.5146,7.5474,0.8831,0.9534,0.8723,0.8982,7.4389,7.5247,7.3724,7.4458,0.7618,0.8337
std,1.5166,1.5419,1.5041,1.4415,1.6852,1.6732,1.6978,1.5781,1.5399,1.5172,1.5254,1.4572,1.7011,1.6692,1.6852,1.5668,1.5508,1.5357,1.5206,1.4576,1.6742,1.685,1.6702,1.5668,1.522,1.5359,1.5555,1.4532,1.661,1.6958
min,2.54,3.06,2.35,3.67,-4.19,-4.06,-4.27,-3.96,2.58,2.98,2.35,3.24,-4.58,-4.81,-5.0,-3.95,2.33,2.73,2.65,3.25,-4.52,-4.19,-4.22,-3.43,3.02,3.14,2.08,3.29,-4.39,-4.39
25%,6.8,6.82,6.7375,6.85,-0.0025,0.0375,-0.1225,0.0675,6.53,6.72,6.63,6.6575,-0.17,-0.05,-0.21,-0.07,6.53,6.67,6.55,6.6475,-0.1925,-0.12,-0.22,-0.07,6.42,6.5775,6.3975,6.51,-0.32,-0.2625
50%,8.015,8.105,7.98,8.06,1.33,1.31,1.25,1.295,7.905,7.955,7.785,7.955,1.14,1.225,1.005,1.12,7.79,7.85,7.79,7.845,1.12,1.185,1.075,1.1,7.675,7.815,7.635,7.74,0.96,1.055
75%,8.9,9.0225,8.89,8.89,2.32,2.33,2.26,2.31,8.73,8.8725,8.6825,8.7425,2.2025,2.25,2.17,2.22,8.71,8.77,8.6725,8.67,2.11,2.25,2.13,2.16,8.6125,8.6825,8.56,8.58,2.04,2.12
max,10.0,10.0,10.0,10.0,4.7,4.78,4.37,3.91,10.0,10.0,10.0,10.0,4.78,4.92,5.0,4.16,10.0,10.0,10.0,10.0,5.0,5.0,4.99,3.93,10.0,10.0,10.0,10.0,4.42,4.61
