feature,corr_abs
t1_cci_total,0.9404347632631812
t1_csi_total,0.9382033969573829
d_csi_total,0.9356746322143968
c_cci_total,0.9356077084007861
d_cci_total,0.9350583672370438
q1_csi_total,0.9338206066456667
q2_csi_total,0.9334900969012138
q1_cci_total,0.9332759278105912
c_csi_total,0.9330214988227222
t2_csi_total,0.9320645260206629
q2_cci_total,0.9303752855341105
t2_cci_total,0.9291685732362246
q2_csi_comm,0.8952266228181597
q1_csi_comm,0.892300486122741
c_csi_core,0.8922460547331741
t1_csi_core,0.8912667937834973
q1_csi_core,0.8890722684966071
t1_csi_comm,0.8889073140543607
d_csi_res,0.8888913059062123
q1_csi_res,0.8885907712402442
d_csi_core,0.8885348067951319
t2_csi_res,0.8876393444596719
t2_csi_core,0.8868351531694
t1_csi_res,0.8860983383517289
q2_csi_core,0.8860787694078385
d_csi_comm,0.8859098591761796
q2_csi_res,0.8850928149530848
c_csi_comm,0.884782354744348
c_csi_res,0.8841790289010479
t1_cci_comm,0.8827292607182595
t2_csi_comm,0.8826170626464329
q1_cci_res,0.8789312303529038
q2_cci_comm,0.8754691725087244
t1_cci_core,0.8745666766982864
d_cci_core,0.8730295240408509
t2_cci_core,0.8726173730680539
d_cci_res,0.8721183749695277
c_cci_res,0.8709161128343946
q1_cci_core,0.8692363339930158
c_cci_comm,0.8691156634277104
t2_cci_comm,0.8691075479272342
c_cci_core,0.8684170229602833
t1_cci_res,0.8683189510001635
t2_cci_res,0.8680651409533017
d_cci_comm,0.8673344920329027
q1_cci_comm,0.8667518574353765
q2_cci_core,0.8658901760678577
q2_cci_res,0.863474166964962
